법정동코드,법정동명,연식,세대수,전용면적
1168010100,서울특별시 강남구 역삼동,19,11622,85
1168010300,서울특별시 강남구 개포동,28,10717,85
1168010400,서울특별시 강남구 청담동,22,6343,135
1168010500,서울특별시 강남구 삼성동,21,9166,107
1168010600,서울특별시 강남구 대치동,24,18613,95
1168010700,서울특별시 강남구 신사동,22,1011,99
1168010800,서울특별시 강남구 논현동,21,4437,105
1168011000,서울특별시 강남구 압구정동,43,10335,136
1168011100,서울특별시 강남구 세곡동,13,2630,76
1168011200,서울특별시 강남구 자곡동,11,3040,81
1168011300,서울특별시 강남구 율현동,10,547,86
1168011400,서울특별시 강남구 일원동,29,8321,86
1168011500,서울특별시 강남구 수서동,28,4860,96
1168011800,서울특별시 강남구 도곡동,24,14899,121
